,Username,TH link,Gene,Past Forms,Level,XP,Damage (heath/10),Tools x use,Myo?
33,ghostlytwickster,33 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
34,_.PhoenixArtz._,34 on Toyhouse,Elementary,,3,0/6,10/10,,No
35,thefishofthecat,35 on Toyhouse,Elementary,,1,0/5,10/10,,No
36,_.PhoenixArtz._,36 on Toyhouse,Elementary,,4,4/8,10/10,,No
37,_.PhoenixArtz._,37 on Toyhouse,Air- Cosmic,,5,3/10,10/10,,No
38,_.PhoenixArtz._,38 on Toyhouse,Elementary,,4,4/8,10/10,,No
39,nini.cosmosart_,39 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
40,vinny._.kitty,40 on Toyhouse,Elementary,,1,0/5,10/10,,No
41,_.PhoenixArtz._,41 on Toyhouse,Elementary,,8,6/18,9/10,,no
42,KorkiKorel,42 on Toyhouse,Elementary,,1,0/5,10/10,,No
43,zak5670,43 on Toyhouse,Elementary,,7,14/15,7/10,"Greater Pickaxe x7 
Lesser Pickaxe x2",No
44,_.PhoenixArtz._,44 on Toyhouse,Elementary,,1,0/5,10/10,,No
45,Bro___Boi,45 on Toyhouse,Cupid,N/A,12,3/30,1/10,,No
46,_.PhoenixArtz._,46 on Toyhouse ,Cupid,N/A,9,11/22,10/10,,No
47,ghostlytwickster,47 on Toyhouse,Ilgbii,N/A,3,1/6,10/10,,No
48,holly.lovesducks,48 on Toyhouse,Elementary,,10,7/26,10/10,,No
49, _pumpkin_patxh_ ,49 on Toyhouse,Elementary,,5,1/10,10/10,,No
50,holly.lovesducks,50 on Toyhouse,Elementary,,9,9/22,10/10,,no
51,Dyrag0n,51 on Toyhouse,Abyssius,N/A,1,2/5,10/10,,No
52,That_kinda_artist,52 on Toyhouse,Elementary,,1,5/10,10/10,Lesser Pickaxe x4,No
53,That_kinda_artist,53 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
54,That_kinda_artist,54 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
55,That_kinda_artist,55 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
56,That_kinda_artist,56 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
57,Constellixx,57 on Toyhouse,Elementary,,6,7/12,6/10,,no
58,Constellixx,58 on Toyhouse,Elementary,,6,0/12,9/10,,no
59,epicbeansprout,59 on Toyhouse,Elementary,,1,0/5,10/10,,No
60,Constellixx,60 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
61,Constellixx,61 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
62,Constellixx,62 on Toyhouse,Abyssius,N/A,6,1/12,10/10,,no
63,chaotic_clueless,63 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
64, Luxicitii,64 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
65,Zak_5670,65 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
66,Constellixx,66 on Toyhouse,Ilgbii,N/A,5,4/10,10/10,,Yes
67,vinny._.kitty,67 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
68,Peachiibee.s,68 on Toyhouse,Elementary ,,7,12/15,10/10,Greater Pickaxe x1,No
69,Peachiibee.s,69 on Toyhouse,Ancient Water,,1,0/5,10/10,,Yes
70,Peachiibee.s,70 on Toyhouse,Cupid,N/A,4,6/8,10/10,,No
71,kandaharstat1c,71 on Toyhouse,Elementary,,12,9/30,3/10,,No
72,kandaharstat1c,72 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
73,Onyxx_arts,73 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
74,a_foxes_darling,74 on Toyhouse,Elementary,,6,11/12,9/10,Lesser Pickaxe x1,No
75,a_foxes_darling,75 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,Yes
76,Kindhearted_Mouse,76 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
77,Kindhearted_Mouse,77 on Toyhouse,Elementary ,,1,0/5,10/10,,No
78,Smolowls,78 on Toyhouse,Elementary ,,9,15/22,3/10,,No
79,Kindhearted_Mouse,79 on Toyhouse,Elementary,,1,0/5,10/10,,No
80,Kindhearted_Mouse,80 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
81,Kindhearted_Mouse,81 on Toyhouse,Cupid,N/A,1,0/5,10/10,,No
82,Bro__Boi,82 on Toyhouse,Cupid,N/A,10,16/26,1/10,,No
83,Kindhearted_Mouse,83 on Toyhouse,Iglbii,N/A,1,0/5,10/10,,Yes
84,Kindhearted_Mouse,84 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,Yes
85,_leviplays_,85 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
86,galaxy._.glitch,86 on Toyhouse,Elementary,,1,0/5,10/10,,No
87,galaxy._.glitch,87 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
88,beelpuff,88 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
89,Diino.miilk,89 on Toyhouse,Elementary,,1,2/5,5/10,,No
90,Diino.miilk,90 on Toyhouse,Elementary,,6,8/12,4/10,,No
91,Diino.miilk,91 on Toyhouse,Earth-Plant,Elementary,7,10/15,9/10,,No
92,Diino.miilk,92 on Toyhouse,Elementary,,2,3/5,10/10,,no
93,Diino.miilk,93 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,Yes
94,Lilashade_doodels,94 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
95,Drak0nish3,95 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
96,Drak0nish3,96 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
97,js.ma.fang,97 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
98,js.ma.fang,98 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
99,Mewdyne.draws,99 on Toyhouse,Elementary,,2,4/5,10/10,,no
100,akuma_risen_art,100 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
101,FrostArtsStudios,101 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
102,bunnyboiaries,102 on Toyhouse,Elementary,,1,4/5,10/10,Lesser Pickaxe x4,No
103,Hamsterstar_draws,103 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
104,Hamsterstar_draws,104 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
105,Hamsterstar_draws,105 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
106,Hamsterstar_draws,106 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
107,Hamsterstar_draws,107 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
108,Hamsterstar_draws,108 on  Toyhouse,Elementary,,1,0/5,10/10,,Yes
109,Hamsterstar_draws,109 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
110,Hamsterstar_draws,110 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
111,Hamsterstar_draws,111 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
112,Hamsterstar_draws,112 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
113,Hamsterstar_draws,113 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
114,Hamsterstar_draws,114 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
115,Hamsterstar_draws,115 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
116,Hamsterstar_draws,116 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
117,Hamsterstar_draws,117 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
118,Hamsterstar_draws,118 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
119,Hamsterstar_draws,119 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
120,Hamsterstar_draws,120 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
121,Hamsterstar_draws,121 on Toyhouse,Abyssius ,N/A,1,0/5,10/10,,Yes
122,Hamsterstar_draws,122 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
123,sayu33neo,123 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
124,sky_the_random1,124 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
125,ohshitsamael,125 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
126,ohshitsamael,126 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
127,snopy_the_wolf,127 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
128,snopy_the_wolf,128 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
129,stwabby_roomz,129 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
130,demi.rat__,130 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
131,demi.rat__,131 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
132,demi.rat__,132 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
133,mookie_woo,133 on Toyhouse,Elementary,,2,0/5,10/10,,Yes
134,cutetootsie06,134 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
135,the_big_dumb_of_art,135 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
136,vixenkitsuu,136 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
137,ferfi_721,137 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
138,ghost_rot,138 on Toyhouse,Elementary,,3,0/5,10/10,,No
139,ghost_rot ,139 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
140,ghost_rot,140 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
141,Rad.iantt,141 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
142,Rad.iantt,142 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
143,Rad.iantt,143 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
144,Rad.iantt,144 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
145,dragoncute_uwu,145 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
146,Bo.bo4550,146 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
147,Bo.bo4551,147 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
148,Rad.iantt,148 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
149,Crowiiott,149 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
150,Fawncakes,150 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
151,Crash_pilot,151 on Toyhouse,Elementary,,4,1/8,10/10,,No
152,neoloid.xx,152 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
153,neoloid.xx,153 on Toyhouse,Elementary,,1,0/5,10/10,,No
154,neoloid.xx,154 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
155,neoloid.xx,155 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
156,neoloid.xx,156 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
157,neoloid.xx,157 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
158,mio_mews_,158 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
159,bro__boi,159 on Toyhouse,Earth-Plant,Elementary,7,6/15,10/10,,No
160,grausampossum,160 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
161,victor_straberry,161 on Toyhouse,Elementary,,1,0/5,10/10,,No
162,victor_strawberry,162 on Toyhouse,Elementary,,1,0/5,10/10,,no
163,victor_strawberry,163 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
164,victor_strawberry,164 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
165,victor_strawberry,165 on Toyhouse,Cupid,N/A,1,0/5,10/10,,No
166,victor_strawberry,166 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
167,victor_strawberry,167 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
168,victor_strawberry,168 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
169,victor_strawberry,169 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
170,ghostlytwickster,170 on Toyhouse,Elementary,,5,6/10,10/10,Anvil x7,No
171,desertflash_the_wc,171 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
172,desertflash_the_wc,172 on Toyhouse,Elementary,,1,1/5,10/10,,Yes
173,desertflash_the_wc,173 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
174,desertflash_the_wc,174 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
175,pacchirucafe,175 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
176,noirpuff,176 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
177,a_foxes_darling,177 on Toyhouse,Elementary,,3,1/6,10/10,,No
178,vinny._.kitty,178 on Toyhouse,Fire-Chaos,Elementary ,11,21/30,7/10,"Anvil x0
Fishing Pole x0",No
179,Rad.iantt,179 on Toyhouse,Elementary,,1,0/5,10/10,,No
180,Rad.iantt,180 on Toyhouse,Elementary,,1,0/5,10/10,,No
181,Rad.iantt,181 on Toyhouse,Elementary,,1,0/5,10/10,,No
182,bro___boi,182 on Toyhouse,Water-Water,Elementary,7,9/15,10/10,,No
183,js.ma.fangl,183 on Toyhouse,Elementary,,3,0/6,10/10,,No
184,Peachiibee.s,184 on Toyhouse,Kiab-Chaos,"Elementary
Fire- Chaos",13,14/30,5/10,"Greater Pickaxe x6
Fishing pole x1
Pot x5",No
185,Dyrag0n,185 on Toyhouse,Elementary,,1,2/5,10/10,,No
186,expiredchipbag,186 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
187,_crims0n.mamaart_,187 on Toyhouse,Earth - Slime,,7,2/15,9/10,Hoe x2,no
188,Zak_5670,188 on Toyhouse,Elementary,,6,11/12,0/10,,No
189,thefishofthecat,189 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
190,frox_v.0,190 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
191,leviplays,191 on Toyhouse,Elementary,,1,0/5,10/10,,No
192,danmanartington,192 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
193,epicbeansprout,193 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
194,constellixx,194 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
195,danmanartington,195 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
196,danmanartington,196 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
197,neighborlynarwhal,197 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
198,danmanartington,198 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
199,danmanartington,199 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
200,neighborlynarwhal,200 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
201,danmanartington,201 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
202,danmanartington,202 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
203,danmanartington,203 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
204,epicbeansprout,204 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
205,epicbeansprout,205 on Toyhouse,Elementary,,10,10/26,4/10,Lesser Pickaxe x2,No
206,FrostArtsStudios,206 on Toyhouse,Air - Cosmic,Elementary,12,6/30,9/10,,No
207,spamtong,207 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
208,RingoDingoDesignz,208 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
209,RingoDingoDesignz,209 on Toyhouse,Elementary,,3,0/6,10/10,,No
210,liabunnart,210 on Toyhouse,Elementary,,4,5/8,10/10,,No
211,RingoDingoDesignz,211 on Toyhouse,Elementary,,1,0/5,10/10,,No
212,chromewaterfalls,212 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
213,that.one.hyena,213 on Toyhouse,Elementary,,1,1/5,10/10,,Yes
214,diino.miilk,214 on Toyhouse,Elementary,,3,2/6,10/10,,No
215,chromewaterfalls,215 on Toyhouse,Elementary,,1,0/5,10/10,,No
216,bagelllover,216 on Toyhouse,Elementary,,1,0/5,10/10,,No
217,draggis64,217 on Toyhouse,Elementary,,5,6/10,10/10,Lesser Pickaxe x1,No
218,_infamous_comedown_ok,218 on Toyhouse,Elementary,,1,0/5,10/10,,No
219,_leviplays_,219 on Toyhouse,Elementary,,1,0/5,10/10,,No
220,apohye,220 on Toyhouse,Fire-Light,Elementary,10,0/26,10/10,,No
221,xxfatduckxx,221 on Toyhouse,Elementary,,4,5/8,10/10,Lesser Pickaxe x2,No
222,xxfatduckxx,222 on Toyhouse,Elementary,,1,0/5,10/10,,No
223,_crims0n.mamaart_,223 on Toyhouse,Fire-Light,Elementary ,5,1/10,10/10,,No
224,lavendrye_skies,224 on Toyhouse,Elementary,,1,0/5,10/10,,No
225,Chaotic_Clueless,225 on Toyhouse,Fire-Light,Elementary,5,0/10,10/10,,No
226,ghostlytwickster,226 on Toyhouse,Water-Water,Elementary,6,1/12,10/10,Lesser Pickaxe x4,No
227,chromewaterfalls ,227 on Toyhouse,Elementary,,1,0/5,10/10,,No
228,Lazydrout ,228 on Toyhouse,Elementary,,3,2/6,10/10,,No
229,phantillyc,229 on Toyhouse,Elementary,,2,4/5,10/10,,No
230,Chaotic_Clueless,230 on Toyhouse,Earth-Slime,Elementary,8,14/18,10/10,Pot (Filled) x7,No
231,clockwork_oasis,231 on Toyhouse,Elementary,,5,4/10,10/10,,No
232,clockwork_oasis,232 on Toyhouse,Elementary,,2,0/5,10/10,,No
233,clockwork_oasis,233 on Toyhouse,Elementary,,2,0/5,10/10,,No
234,cl0wn_t3ar5,234 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
235,mookie_woo,235 on Toyhouse,Elementary,,1,0/5,10/10,,No
236,s3w3rr0ach,236 on Toyhouse,Elementary,,2,5/6,9/10,,No
237,diino.miilk,237 on Toyhouse,Air-Ghost,Elementary,6,2/12,10/10,,no
238,mixuen,238 on Toyhouse,Elementary,,3,0/6,10/10,Greater Pickaxe x6,No
239,smolowls,239 on Toyhouse,Elementary,,10,19/26,1/10,Lesser Pickaxe x1,No
240,luckymuffincat,240 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
241,beans.are.nice,241 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
242,beans.are.nice,242 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
243,beans.are.nice,243 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
244,beans.are.nice,244 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
245,beans.are.nice,245 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
246,beans.are.nice,246 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
247,diino.miilk,247 on Toyhouse,Earth-Plant,,9,10/22,0/10,,No
248,chaotic_clueless,248 on Toyhouse,Fire- Chaos,Elementary,5,3/10,10/10,,No
249,chaotic_clueless,249 on Toyhouse,Fire-Light,Elementary,6,5/10,7/10,,No
250,js.ma.fangl,250 on Toyhouse,Elementary,,1,0/5,10/10,,No
251,Kindhearted_Mouse,251 on Toyhouse,Elementary,,1,0/5,10/10,,No
252,neighborlynarwhal ,252 on Toyhouse,Cupid,N/A,3,2/6,10/10,,No
253,Kindhearted_Mouse,253 on Toyhouse,Elementary,,11,0/30,10/10,"Anvil x1
Greater Pickaxe x10",No
254,neighborlynarwhal ,254 on Toyhouse,Elementary,,8,7/18,7/10,,No
255,maggot._.soup,255 on Toyhouse,Elementary,,1,0/5,10/10,,No
256,clemirai,256 on Toyhouse,Elementary,,1,0/5,10/10,,No
257,gin_no_yume,257 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
258,gin_no_yume,258 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
259,baileisincream,259 on Toyhouse,Elementary,,3,1/8,2/10,"Lesser Pickaxe x5
Anvil x10",No
260,Apohye,260 on Toyhouse,Elementary,,1,0/5,10/10,,No
261,zesmolnuggeto,261 on Toyhouse,Elementary,,1,0/5,10/10,,No
262,therisingriver,262 on Toyhouse,Elementary,,2,2/5,10/10,,No
263,therisingriver,263 on Toyhouse,Elementary,,3,0/6,10/10,,No
264,diino.miilk,264 on Toyhouse,Elementary,,1,0/5,10/10,,No
265,foreverjinxxed,265 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
266,_sphynx_forest,266 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
267,hotsauceninjaanimations,267 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
268,hotsauceninjaanimations,268 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
269,Kindhearted_Mouse,269 on Toyhouse,Elementary,,10,9/26,9/10,,No
270,Vinikitt,270 on Toyhouse,Elementary,,4,1/8,10/10,,No
271,pyr022_,271 on Toyhouse,Elementary,,4,5/8,6/10,,No
272,zak_5670,272 on Toyhouse,Elementary,,7,8/15,10/10,,No
273,bro___boi,273 on Toyhouse,fire-light,,9,18/22,10/10,,No
274,bro___boi,274 on Toyhouse,earth slime,,8,3/18,10/10,,No
275,hotsauceninjaanimations,275 on Toyhouse,Elementary,,1,0/5,10/10,,No
276,xspark_crestx,276 on Toyhouse,Elementary,,2,0/5,10/10,,No
277,xspark_crestx,277 on Toyhouse,Elementary,,1,0/5,10/10,,No
278,Milky24307,278 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
279,Milky24307,279 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
280,Milky24307,280 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
281,_.PhoenixArtz._,281 on Toyhouse,Elementary,,5,3/10,10/10,,No
282,Ghost_rot,282 on Toyhouse,Elementary,,5,2/10,10/10,,No
283,Bone_guts,283 on Toyhouse,Elementary,,1,0/5,10/10,,No
284,_.PhoenixArtz._,284 on Toyhouse,Elementary,,6,4/12,10/10,Greater Pickaxe x1,No
285,Fatterhorner,285 on Toyhouse,water,,6,11/12,10/10,,No
286,Fatterhorner,286 on Toyhouse,Elementary,,4,2/8,10/10,,No
287,Fatterhorner,287 on Toyhouse,Elementary,,4,0/8,10/10,,No
288,The_Big_Dumb_Of_Art,288 on Toyhouse,Elementary,,7,0/15,9/10,,No
289,puppett_on_a_string_2.0,289 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
290,puppett_on_a_string_2.0,290 on Toyhouse,Elementary,,1,0/5,10/10,,no
291,puppett_on_a_string_2.0,291 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
292,puppett_on_a_string_2.0,292 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
293,puppett_on_a_string_2.0,293 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
294,puppett_on_a_string_2.0,294 on Toyhouse,Abyssius,N/A,,0/5,10/10,,Yes
295,Chaotic_clueless,295 on Toyhouse,Air-Ghost,,5,5/10,9/10,,No
296,the_big_dumb_of_art,296 on Toyhouse,Elementary,,7,6/15,9/10,Lesser Pickaxe x2,No
297,the_big_dumb_of_art,297 on Toyhouse,Elementary,,6,10/12,10/10,,No
298,mixuen,298 on Toyhouse,Air-Cosmic,Elementary ,6,0/12,8/10,Greater Pickaxe x9,No
299,mixuen,299 on Toyhouse,Water-Ice,Elementary ,5,5/10,8/10,,No
300,Luckymuffincat,300 on Toyhouse,Elementary,,7,8/15,10/10,,No
301,mewdyne.draws,301 on Toyhouse,Elementary,,8,0/18,9/10,,No
302,lolzerous,302 on Toyhouse,Elementary,,1,0/5,10/10,,No
303,Akuma_risen_art,303 on Toyhouse,Elementary,,2,0/5,7/10,,No
304,N/A,304 on Toyhouse,Elementary,,1,0/5,10/10,,No
305,Victor_Strawberry,305 on Toyhouse,Elementary,,2,0/5,10/10,,No
306,_d3f4ult_art ,306 on Toyhouse,Elementary,,10,8/26,10/10,Lesser Pickaxe x2,No
307,_crims0n.mamaart_,307 on Toyhouse,Elementary,,1,0/5,10/10,,no
308,sir_burnt,308 on Toyhouse,Elementary,,1,0/5,10/10,,No
309,Sir_Burnt,309 on Toyhouse,Elementary,,1,0/5,10/10,,No
310,puppett_on_a_string_2.0,310 on Toyhouse,Elementary,,1,1/5,10/10,,No
311,puppett_on_a_string_2.0,311 on Toyhouse,Elementary,,1,0/5,10/10,,No
312,puppett_on_a_string_2.0,312 on Toyhouse,Elementary,,1,4/5,10/10,,No
313,mixuen,313 on Toyhouse,Fire-Light,Elementary,5,5/10,9/10,,No
314,mio_mews_,314 on Toyhouse,Elementary,,1,0/5,10/10,,No
315,mio_mews_,315 on Toyhouse,Elementary,,1,0/5,10/10,,No
316,mio_mews_,316 on Toyhouse,Elementary,,1,4/5,10/10,,No
317,lazuu.uwu_art,317 on Toyhouse,Water-Water,Elementary,9,9/22,10/10,,No
318,lolzerous,318 on Toyhouse,Elementary,,6,1/12,10/10,,No
319,_0_strawberrymilk_0_,319 on Toyhouse,Elementary,,1,2/5,10/10,,No
320,_0_strawberrymilk_0_,320 on Toyhouse,Elementary,,1,4/5,10/10,,No
321,_0_strawberrymilk_0_,321 on Toyhouse,Elementary,,1,0/5,10/10,,No
322,xspark_crestx,322 on Toyhouse,Elementary,,1,0/5,10/10,,No
323,n/a,323 on Toyhouse,Elementary,,1,0/5,10/10,,No
