	Username	Currency	MYO's	Mutations	Items	Account Bound	Crafting Recipes	Pets - Drawn (up to 6)	Plot-Planted seed-water/harvest date	Achievement Badges
169	hollowedvoid	420 UBP 16 Eggs	1 Elementary, 1 Ilgbii, 1 Abyssius	claws x1, fangs x1, floating objects x1, snowman x1, skeleton parts x1, shaggy back legs x1	Phaloo Seeds x7, Stone x39, Mazu berry x13, Stick x51, Phaloo x10, Eread x8, Lotar x3, Magmil x3, Wyrm x3, Prysiv x1, Evolution Shard x3	1 Elementary MYO	Lesser Pickaxe Campfire Revival Potion Ilgbii Umi	ff01x-0   m01u-0		Creation!                                        event participation
170	sn0w.paws	100 UBP                          17 CH	1 Cupid, 1 Any exclusive			1 Elementary MYO Candy insides mutation				Creation! Paws or Claws Participation!
171	mewsemi	100 UBP								Creation!
172	Its.rakii	1,700 UBP 25 Umbo	1 Ilgbii, 1 elementary	x1 different pupil						Creation!
173	spencer_mxtt	150 UBP								Creation!
174	_pumpkin_patxh_	5,355 UBP 53 Umbo 60 Bells 12 CH 73 Eggs 68 Mazu Pyre	1 Cupid, 1 feyndeer, 1 Elementary, 1 Abyssius, 1 Ancient Earth, x1 mimicree	x1 Hoof Back Legs, x1 Bat-like ears, x1 Multiple Limbs, x1 Snowman, x1 Bird Hind Legs, x1 Plush Parts, x1 Crystal Mushroom, x1 Tree Mushroom, , x1 Gigantism, Candy insides x1, Snow particles x1, marshmallow body 1x , candy cane horns 1x , confetti 1x, albinism 1x, Plant growth x1, Different back legs x1, Fruit parts x2, Glitch x1, Dullahan x1, Piebald x1, Bunny Ears x1, multiple eyes x1	Mazu Berry x20, Evolution Shard x19, Phaloo x32, Mazu Fish x1, Stick x25, Stone x33, Magmil x2, Pyre x1, Lotar x1, Phaloo Seeds x8, 1x Plushpit, Eread x3, Prysiv x1, Prysiv seeds x1, Chush x4, Fica x4, Fica Seeds x1, Wyrm x2, fossilized whisker x1, evolution stone x1, Fossilized Horn x1		Evolution Stone Revival potion Campfire                          Pot Cooked tagbo fish Anvil               Mutation Hoe	m02e-0 c04x-0 DB01X-0 C06x-0 PP01E-1 DB02U-1         M03U- 0                   C01-0                       ff01x-0 CO2X -0                        c05x-0 MC04U - 1 G06X - 0    L12U - 0	Plot 1 - Untilled	Creation!                                       Paws or Claws Participation First Quest                Sugar Daddy                  Paws or Claws Master Bring on the heat Pirate of the seven seas   Free Birds                    Artifact Holder
175	downthedarkavenues	100 UBP	1 Elementary, 1 Cupid, 1 Abyssius 	Different ears x1, piebald mutation x1, glow x1, floating objects x1, Familars x1	Mazu berry x1, Stone x1, Stick x2					Creation!
176	usukiarts	12,000 UBP 0 Bells 20 Umbo	1x abyssius, 2x Elementary	2x wings, 1x extra limbs, 3x horns, 3x long body,  1x 2+ ears mutation, 2x different tail, 2x gills, 1x 3+ eyes, 2x albinism, 1x floating object, 1x no ears mutation, 1x no face mutation, 1x snowman, 1x snow particles,  1x hooves 						Creation!
177	axolotol1nc_	4,100 UBP 30 Umbo                               20 CH	1x Feyndeer, 2x Cupid, 1x Ilgbii	x2 Glow, x1 Antenna, x1 Multiple Eyes, x1 Different Insides, x1 Albinism, x2 Slime, x1 Familiars, 1x Heart particles, 1x Floating objects, 1x Plant body parts, and 1x Plant growth	Stick x17, Mazu Berry x9, Evolution Shard x14, Phaloo x12, Stone x16, Magmil x8, Pyre x6, Black Lyka x1	Lesser Pickaxe				Creation!
178	gummymoth 	30,025 UBP                         63 CH                                  95 umbo                                     178 eggs                              89 bells 13 Mazu Pyre	x4 Ilgbii, x2 cupid, x2 feyndeer, x5 Abyssius, x2 Elementary, Ancient Water x1, Earth Plant x1, Elementary/Ilgbii x1, Archeon x1, Iligbii-Cosmic x2, Air-Cosmic x1, Abyssius-Ilgbii x1, Abyssius-Cosmic x1	Wings x4, Shaggy Back Legs x1, Horns x1, Colour Changing x1, Skeleton Parts x3, Mushrooms x3, Ghost Parts x2, Bat Like Ears x1, Zippers x3, Bug Parts x2, Plant Growth x2, Wing Ears x2, Claws x2, Glow/Mushroom x2, Marshmallow Body x1, Constellation Parts x2, Long Body x2, Missing Limbs x1, Stardust x1, Pollinator Puffs x1, Candy Insides x1, Cloud Head x2, Familiars x3, Multiple Eyes x2, Leaky x3, Shadow Morph x2, Slime x2, Zombie Parts x1, Bunny Ears x1, Albinism x2, Requirement ignore x1, Confetti Parts x1, Heart Particles x1, Plush Body x2, different coloured skin x1, Excavation Site x1, Skull head x1, Velociraptor Back Feet x1, Geode x1, Spikes x1, Relic Parts x1, Runes x1, fossilized x1, amber x1, piebald x2, Spores/Mushroom x3, x2 whiskers, Leaky/Mushrooms x1, Skeleton/Mushroom x1	Phaloo x43, Ilgbii Flower x3, Lotar x2, Stone x69, Evolution Shard x21, Stick x61, Mazu Berry x41, Phaloo Seeds x9, Wyrm x8, Eread x12, Mazu Fish x12, Prysiv x5, Plushpit x1, Magicule Seal x2, Magmil x5, Black Lyka x7, Vielli seed x1, Chush x10, Cooked Fica x2, Fossilized Claw x2, Chush Seeds x1, Fossilized Feather 3, Evolution Stone x6, Fossilized Horn x2, Fossilized Whisker x3, Fica x1, Prysiv Seeds x1, Cooked Mazu Fish x5, Dryxon mushroom x1, Tagbo Fish x11, Fica Seeds x1, Pyre x2	1 Elementary myo, 1x Perfect Mazu Pyre	Greater fishing pole  pot                        twine                         Hoe                               Anvil                            Lesser pickaxe  Plushpit Cooked Tagbo Fish Cooked Mazu Fish  Mutations Revival Potion  Fishing pole Evolution stone Ancient Air umi Ancient water umi Ancient Fire umi Ancient Earth umi Stew Cooked Fica Cooked Chush  ilgbii Recipe  Armor 1 Armor 2 Greater Pickaxe 	C02X - 0 M03U-0 AN13RX- 0 CN06U - 2 B08U -0 IN12X -3 FF75X -4 G15X -2	Plot 1 - Tilled  Plot 2 Plot 3	Creation!                       Artifact Holder Propagator Expanding The Gene Pool Bucket Farmer's Hand  Master Baiter Necromancer  Bring on the heat Pirate of the seven seas Free Birds Artifact Finder First Quest 5 Quests Completed Novice Reader Avid Player First Action  Stone Age Tool Upgrades  Magicule Gatherer  Another Chance Hidden Treasure  Field Researcher Apprentice  Mazu Pyre Millionaire 
179	raincloud.png	1,580 UBP	1 Exclusive							Creation!
180	neagiiii	1,690 UBP	1 Elementary	x1 horns, Spores/Mushrooms x1	Stone x27, Stick x33, Phaloo x22, Mazu Berry x12, Evolution shard x5, Phaloo Seeds x1			PP01E - 0 C02X - 0		Creation!
181	bioshock_wolf	100 UBP								Creation!
182	willem_dafoe_official	11,556 UBP 167 Umbo 31 Bells 175 CH 8 Eggs	1 Elementary (1732),	Stardust 1x, Tentacles 1x, Bunny ears x1, Ragdoll x1, Plush body x1, Horns x1, Skull head x1,	Evolution Shard x54, Stone x235, Stick x168, Mazu Berry x102, Pyre x16, Eread x5, Wyrm x6, Phaloo x98, Phaloo Seeds x45, Chush Seeds x9, Fica x16, Magmil x23, Lotar x1, Prysiv x5, Black Lyka x5, Chush x14, Fica Seeds x10, Prysiv Seeds x1, Cooked Chush x5, Mazu Fish x1, Vielli Seed x3, Ilgbii Flower x1, Dryxon Mushroom x1		Lesser Pickaxe                                                     Hoe                                   Revival potion                         Pot Twine Anvil  Evolution Stone Fishing Pole Armor 1 UBP                 Cooked Chush	C04x-4 FF41X -0 C05X-0	1 Tilled Plot	Creation! Novice Reader, Advanced Reader First Quest, 5 Quests, Master Quester, MQB Novice Sugar Daddy, Event Participant, Event Visitor Roughhousing, Warrior, Gladiator, Reaper, Bloodlust, Newbie Crusher Propagator, Exclusive Propagation, Advanced Propagation, Mixed Breed
183	thesmolchid	3,545 UBP						C04X-6		Creation! First Quest!  MQB Diligence
184	thatdog345	500 UBP				1 Elementary myo				Creation!
185	the_indigo_arrow	1,650 UBP 1 Bells	1 Elementary, 1 Abyssius, 1 Feyndeer	x1 Albinism, x1 Glow, x1 Rock/Crystal	Stone x14, Stick x8, Evolution Shard x19, Mazu Berry x6					Creation!
186	dobie_x	100 UBP								Creation!
187	haukkuauks	100 UBP								Creation!
188	dragon092727	325 UBP 			Stick x13, Mazu berry x7, Stone x11, Phaloo x5, Evolution shard x3					Creation!
189	oi_werewolf	2,600 UBP								Creation!
190	under_oblivious_rain	5,534 UBP 1 umbo 40 Bells 15 CH 6 Eggs 67 Mazu Pyre	Abyssius x1, Mushrumi x1	fire x1, hoof back legs x1, horns x1, Candy cane horns x1, Familiars x1, Wing Ears x1, Gills/Mushrooms x1, Zippers x1, Leaky/Mushrooms x1, Hollow body/Mushrooms x2, Dullahan x1, Spikes x1, Zombism/Mushrooms x2, Spores/Mushrooms x1	Stick x19, Evolution Shard x21, Mazu Berry x15, Phaloo x22, Fica x4, Chush x24, Stone x13, Pyre x5, Eread x14, Prysiv x13, Magmil x3, Wyrm x8, Phaloo Seeds x14, Prysiv Seeds x7, Magicule Seal x1, Fica Seeds x2, Fossilized Whisker x1, Fossilized Feather x1, Fossilized Horn x1, Fossilized Claw x1, Vielli Seed x2, Dryxon Mushroom x2, evolution stone x1, Mushrumi spore x3, Cooked Tagbo Fish x2, Cooked Mazu Fish x2, Revival Potion x2, Chush Seeds x2, Twine x1		Lesser Pickaxe Evolution stone Fishing Pole Revival Potion Campfire          Ancient Water Umi Ancient Air Umi	AN12RX-0  PP15U-0 FF65X -0		Creation! Roughhousing        Warrior free birds  pirate of the seven seas   Bring on the Heat        Artifact Finder
191	gummiefox	100 UBP 10 Bells 27 CH 2 Eggs		Different back legs x1, 	Phaloo x8, Mazu berry x5, Evolution shard x4, Stone x16, Stick x18					Creation!
192	anni3bytez	1,334 UBP 16 CH        0 Umbo 0 Bells 0 Eggs	1x Cupid, 1x ilgbii	Plush Body 1x, Bug parts x1, long body x1 Gingerbread body x1, Sand parts x1, Different insides x1, Different back legs x2, Horns x1, Detached/floating limbs x1, piebald 1x	Phaloo x32, Stick x84, Stone x80, Mazu Berry x44, Evolution shard x18, Phaloo seeds x4, Eread x1, Pyre x3, Magmil x3, Black Lyka x2, Dryxon Mushroom 1x		Lesser Pickaxe  Greater pickaxe,  Campfire,  Cooked Fica,  Armour 2 Evolution Stone	C06X-0                                     C09E-0  C08X -0		Creation!
193	chrysokami	150 UBP								Creation!
194	palikomink	590 UBP 21 Umbo 165 bells 57 CH	x1 Feyndeer	Bat-like Ears x1, Spikes x1, Slime x1, Wings 1x, Mushroom growth 1x, Horns 1x	Stick x43, Stone x67, Evolution shard x21, Phaloo x22, Mazu Berry x18, Phaloo Seeds x10, Magmil x8, Black lyka x3, Pyre x9, Eread x6, Fica x2, Fica Seeds x1, Chush x1, Prysiv x3, Tagbo Fish x1, Mazu Fish x1, Wyrm x1, Illgbi flower 1x, Dryxon mushroom 1x		Lesser Pickaxe Greater Pickaxe.                   Evolution Stone Greater Fishing Pole.              Anvil	M02E-0 C10E-0  FF60X - 0		Creation!                       Sugar Daddy                        Lover
195	lemonflavdtrash	100 UBP								Creation!
196	armyanimal156	100 UBP								Creation!
197	mixies_sketchbook	2,233 UBP 12 Umbo  51 Bells 19 CH 11 Eggs            1 Mazu Pyre	Abyssius x2, Cupid x3, Ancient Earth 1x, Ancient Air 1x, Ancient Water 1x, 1x Archeon, 2x Elementary, Ilgbii x1, Amiki x1, Fairyfly x1, 1 Cupid - Abyssius, 1x Mushrumi 	1x fins/webs, 1x Snowman, Shaggy back leg fur 1x, Multiple eyes 1x, plush body mutation x1 , claws x2, 1x Requirement ignore , 1x Bat Like Ears, 1x stardust, x7 different insides, 1x shell, 2x plant growth, 4x horns, 2x fangs, long neck x1, Floating objects x1, piebald x1, Pollinator Puffs x1, familiars x1, Skull head x1, Glow/Mushroom x2, fossilized x1, amber x1, relic parts x1, runes x1, geode x1, spikes x1, excavation site x1, Fruit Parts x1, Shadow Morph x1, Heart Particles x1, Candy Insides x1, Sand parts x1, Tree/Mushrooms x2, Rock/Crystal/Mushrooms x1, Skeleton/Mushrooms x3, Zombism/Mushrooms x1, Mushrooms x1, Icicle Teeth x1, Ice Horns/Spikes x1	Stone x133, Phaloo x67, Stick x123, Mazu berry x64, Eread x4, Prysiv seeds x6, Phaloo Seeds x40, Fica x14, Pyre x8, Magmil x7, Lotar x7, Wyrm x3, Dryxon Mushroom x3, Ilgbii Flower x1, Chush x12, Black Lyka x8, Cooked Tagbo Fish x1, Fica Seeds x2, Chush seeds x2, Cooked Mazu Fish x3, Vielli Seed x1, Mazu Fish x3, Evolution Shard x9, Evolution Stone x1, Mushrumi Spore x3, Revival Potion x1	1x Perfect Mazu Pyre	lesser pickaxe recipe, greater pickaxe recipe, twine recipe, lesser fishing pole recipe, armor 1 recipe, hoe recipe, pot recipe, campfire recipe, evolution stone recipe, anvil recipe, greater fishing pole recipe, cooked mazu fish recipe, cooked tagbo fish recipe, UBP crafting recipe, revival potion crafting recipe, mutations crafting recipe, armor 2 crafting recipe, cooked chush crafting recipe, cooked fica crafting recipe, stew recipe, Ancient Earth Umi recipe, Ancient Air Umi recipe, Ancient Fire Umi recipe, Ancient Water Umi Recipe, Illgbi umi recipe, Plushpit recipe 	CO8X-0          C10E-0                 FF01X-0 COTN01U -1 AN07RX-0 G02X-0         P01X -0 W02U - 0  GR02U - 0  J04X - 0 KU01U- 0 B01U- 0 M11U- 0                          IL02U - 0                           IN04X- 1 I04U- 0 C20U- 0 K04U- 0 Km01U - 0 SP01U - 0 FF85X - 0	Plot 1 - Untilled	Creation! First Quest MQB Diligence Lover ,  Warrior,  Reaper,  Roughhousing,  Gladiator,  Bloodlust,  Murdered,  Bad Rep,  Newbie Crusher,  Underdog,  Eat Your Words,  Artifact Holder,  Edge of death,  Necromancer First action Magicule Gatherer Stone Age  Tool upgrades  Mix Breed Expanding the gene pool Propagator Avid Player MQB Novice 5 MQB prompts 10 MQB prompts Free birds Bring on the heat Event participation Event visitor Event goer  MQB Perserverence Farmers Hand              Hidden Treasure            Pirate Of The Seven Seas                          Artifact Finder  Ancient Kiab.                       Field Research Apprentice Field Researcher Mazu Pyre Millionaire Event Master              Ancient Erost              Ancient Forest            Ancient Ocean            Ancient Crafter
198	insomniac.practice	2,090 UBP 5 CH		x1 Familiar, x1 plant growth	Stick x26, Stone x62, Evolution shard x15, Phaloo x9, Mazu Berry x13, Black lyka x14, Magmil x10, Pyre x11, Prysiv x13, Lotar x1, Phaloo seeds x6, Prysiv seeds x4, Mazu Fish x8, Twine x1, Tagbo Fish x4, Eread x1		Lesser Pickaxe Twine Fishing Pole           greater pickaxe                  evolution stone	DB02U-0		Creation!
199	_cottea_	100 UBP	Elementary x2, Feyndeer x1	Glow x1, Mushroom Growth x1		1 Elementary MYO		M03U-2		Creation!
200	consteloly	80 UBP	x1 Elementary 	wings, fangs, claws		1 Elementary MYO				Creation!
201	ink.grxphics_art	350 UBP                            46 CH 2 Eggs		Plushbody 1x,	Stick x33, Stone x34, Mazu berry x28, Phaloo x36, Evolution Shard x15, Phaloo seeds x17					Creation!
202	Enigma_The_Budgett	650 UBP	x1 Abyssius		Stone x7, Stick x4, Phaloo x3, Evolution Shard x5, Mazu Berry x4		Greater Pickaxe Greater Fishing Pole			Creation!
203	Kittiesbythemillions	1,100 UBP	1x elementary 							Creation!
204	lightterrors 	4,520 UBP 17 CH 10 Eggs	x2 Cupid, x1 Abyssius, 1x Elementary 	long body x1, tank x1, different back legs x1, scarecrow x1, slime parts x1, 3+ eyes x1, fangs x1, claws x1, color changing ×1, different insides x1, familiars mutation x1	Ilgbii Flower x2, Revival Potion x1, Stone x1, Phaloo x1	x1 Elementary 		ff01x-0		Creation!
205	faimynth	100 UBP								Creation!
206	lost_reality_ren 	100 UBP 10 CH			Mazu berry x2, Stone x2					Creation! 
207	zity015	100 UBP			Stick x3, Stone x3, Mazu Berry x2, Phaloo x2					Creation! 
208	c0tt0ncandiez	100 UBP 15 CH								Creation! 
209	choccy_thoffee	100 UBP								Creation! 
210	humming_sweet	300 UBP	1 Elementary, 1 Cupid							Creation! 
211	byebyelena	100 UBP				x1 elementary 				Creation! 
212	rainbowjackal	100 UBP 2 CH	1 cupid							Creation!
213	TarotsTrinkets	450 UBP 57 CH 1 Egg	1 abyssius		Stick x4, Phaloo x1, Stone x1, Mazu Berry x1					Creation!
214	_.messagesfromthestars._	910 UBP,  32 CH				x1 Elementary 				Creation!
215	goldenygoodra	100 UBP			Stone x2					Creation!
216	_nan_mais_mdr_	3,050 UBP                               5 CH 0 Mazu pyre	Cupid 1x, Ancient Fire x1, Ilgbii x1	Different ears 1x, Excavation Site x1, Skull Head x1, Requirement Ignore x1,robot parts x1, rock/crystal mushroom growth x1, Tree/Mushrooms x1 	Mazu berry x6, Stick x15, Stone x11, Dryxon Mushroom x1, Wyrm x2, Fossilized Horn x1, Fossilized Whisker x1, Fossilized Claw x1, Phaloo x5, Evolution Shard x4, Phaloo Seeds x5, Black Lyka x2, 		Mutations Lesser Pickaxe Twine Pot, Fishing Pole			Creation!
217	snowdall501	100 UBP                             15 CH                            10 MP								Creation!
218	skylos	1000 UBP	1 Cupid			x1 Elementary 				Creation!
219	Hazeoki	240 UBP 10 Bells 12 CH	2 Elementary, 1 Feyndeer, 1 Cupid, 1 archeon	Icicle Horns/Spikes x1, Glitch x1, Gingerbread body x1, Icicle teeth x2, Skeleton parts x1, Chocolate parts x1, Dullahan x1, Familiars x1, Zombie/Mushroom x1, Albinism x1, Gills/Mushroom x1, Mushroom x1	Stone x56, Stick x58, Mazu Berry x36, Phaloo x27, Evolution Shard x21, Phaloo seeds x11, Vielli Seed x1, Prysiv seeds x1, Eread x1, Wyrm x1, Prysiv x1		Cooked Mazu Fish  Fishing Rod  Greater Fising Pole	C02X-0 IN17X- 0 IN18X - 0	1 - Untilled	Creation!
220	mintiqq	140 UBP, 5 CH	x1 Feyndeer, x1 Cupid	x1 Albinism, x1 Fangs		1x elementary				Creation!
221	byebyelena	100 UBP								Creation! 
222	phrogmilkk	100 UBP, 5 CH								Creation!
223	Floof_ers	450 UBP								Creation!
224	frodious	275 UBP			Stick x23, Stone x20, Evolution shard x8, Phaloo x11, Mazu berry x10, Phaloo seeds x5					Creation!
225	Sour.Rot	2,113 UBP 4 Umbo 0 Bells 6 Eggs 5 CH 4 mazu pyre	Ilgbii x2, Abyssius x2, Plushpit x1, Fairyfly x1, Feyndeer x1, Elementary x3	Dyed Egg x1, Zipper x1, Different Insides x1, Wings x3, Horns x1, Candy Insides x2, Leaky x2, Fossilize, Floating Objects x2, x2 Glitch, Multiple Eyes x2, Wing Ears x1, Long Body x2, Multiple Limbs x2, Gigantism x1, Piebald x1, Tank x1, Bat like ears x1, Piebald x1, Spikes x1	Stone x76, Stick x69, Phaloo x68, Mazu Berry x34, Phaloo Seeds x19, Eread x8, Prysiv x1, Wyrm x1, Evolution Shard x11, Revival Potion x3, Magicule seal x1, Dryxon mushroom x1, Fossilized horn x1, Fossilized claw x1, Fossilized feather x1		revival potion UBP                 Cooked Chush Mutations Recipe  hoe                evolution stone ancient water umi	M03U - 0 C07U - 0 PP14U - 0 C02X-0 FF80X-0	Plot 1 - untilled	Creation!                         Free Birds                      Bring On The Heat        Pirate Of The Seven Seas Artifact Finder
226	Snowllet	5,940 UBP 20 Eggs 45 Mazu Pyre	Plushpit 1x	Bat-like Ears x1, Bug parts x1, Cloud head x1, Different Insides x1, Fangs x1, Fruit parts x1, Geode x1, Gills/mushrooms x2, Glow/Mushroom x4, Hollow body/mushrooms x2, Horns x1, Ice horns/spikes x1, Mushrooms x2, Ragdoll x2, Rock/Crystal/Mushrooms x2, Scarecrow x1 , Skeleton/Mushrooms x1, Tree/mushrooms x4, Zombism/Mushrooms x1	Stick x228, Stone x274, Dryxon Mushroom x2, Evolution shard x75, Fossilized Claw x1, Fossilized Feather x2, Fossilized Horn x1, Fossilized Whisker x1, Lotar x1, Mazu Berry x130, Mushrumi spore x2, Phaloo Seeds x69, Phaloo x136	x1 Elementary	UBP Evolution Stone Lesser Pickaxe 	FF01X-0 M06X-0 C05X-0    PP21U CN24U -0 IN16X- 0 IL09U- 0	1 untilled plot	Creation!                       Pirate Of The Seven Seas Bring On The Heat           Free Birds                     Artifact Holder
227	starrymaplebar.cs	8,171 UBP 8 Umbo 58 Bells 11 CH 15 Eggs 22 Mazu Pyre	Ancient Water x1, Elementary x3, Plushpit x2, Ancient Air x1, feyndeer x1, astra x1, Sea Pillow x1	Leaky x1, Gills x1, Icicle Teeth x1, Zombie Parts x1, Dullahan x1, Albinism x1, Different Ears x1, Ice Horn/Spikes x1, spikes x1, Chocolate parts x1, Wings Ears x2, Excavation Site x1, requirement ignore x1, Marshmallow parts x1, Rock/Crystal/Mushrooms x3, Glow/Mushrooms x3, Tree/Mushrooms x1, Spores/mushrooms x1, Gills/mushrooms x2, Zombism/Mushrooms x1, Piebald x1, runes x1, Wings x1	Stone x78, Stick x33, Mazu Berry x16, Phaloo seeds x5, Pyre x14, Evolution Stone x6, Prysiv Seeds x5, Eread x10, Magmil x26, Ilgbii Flower x2, Wyrm x10, Cooked Chush x3, Cooked Mazu Fish x3, Cooked Tagbo Fish x3, Cooked Fica x6, Vielli Seed x2, Revival Potion x5, Black Lyka x7, Dryxon mushroom x2, Prysiv x16, Phaloo x25, Fica x4, Chush x1, Mushrumi Spore x2, Lotar x5, Evolution Shard x2		Lesser Pickaxe Greater Pickaxe Evolution Stone                                                             Fishing Pole Twine               Campfire Cooked Mazu Fish Cooked Tagbo Fish Cooked Chush Hoe Anvil Pot Stew  UBP Cooked fica Greater fishing pole Armor 2 Mutations  Revival potion Plushpit                                Armor 1                          Illgbi umi  Inder  Ancient Earth  Ancient Water Ancient Air Ancient Fire	FF01X-0  FF14X- 0 C08X-0   C03U-0  PP01E-0  M03U-0    PP17U - 0 PP19U-0 DB02U -0 CN16U - 0 B05U- 0 D01X-0 CN30U - 0 C21U - 0   G16X - 0   G26X - 0 SP02U - 0	Plot 1 - Tillied	Creation! Underdog Roughhousing Warrior Gladiator Bloodlust
228	lea._.b._._	100 UBP								Creation!
229	chilimelon	1000 UBP 10 Bells 3 Eggs 1 CH 2 Balls	Ilgbii x1, 1x abyssius	x1 Plant Growth, x1 Wings, x1 Leaky, x1 Albinism, x1 Candy cane horns, Spikes x1, Excavation Site x1	Phaloo x24, Stick x37, Mazu berry x23, Evolution shard x17, Stone x49, Phaloo seeds x6, Vielli Seed x1, Fica seeds x1		stew recipe	infinite glorps g01x-0 J14X-0		Creation!
230	sam.milkers	990 ubp			Stone x13, Stick x9, Phaloo x6, Phaloo seeds x2, Evolution shard x3, Mazu berry x7, 1x Evolution stone		Lesser Pickaxe 			Creation!                      
231	cicaaroo	100 UBP				x1 elementary 				Creation!
232	winters_greetings	100 UBP								Creation!
233	Smile._.dogg	13,400 UBP	x2 Elementary	Albinism x1, Plush x1		x1 Elementary		C11U-0		Creation!
234	prophetpaws	180 UBP								Creation!
235	instant.art.ramen	150 UBP				x1 elementary				Creation!
236	fluffy_corgisaur	165 UBP	x1 cupid		Stone x23, Phaloo x9, Evolution shard x8, Stick x8, Mazu berry x8, Phaloo seeds x1, 1x igblii flower	1x elementary				Creation!
237	its_tobypop	100 UBP								Creation!
238	archeiias	100 UBP								Creation!
239	secreywake.up	1,795 UBP 4 Eggs 33 Mazu Pyre			Phaloo x13, Stick x27, Stone x28, Mazu berry x17, Phaloo seeds x10, Evolution shard x6, Mazu fish x1, Eread x1		lesser pickaxe Ilgbii umi recipe Hoe			Creation! Bring on the heat Pirate of the seven seas
240	risk_of_systematic_chaos	3,680 UBP	x2 ilgbii	Mushroom Growths 3x, Gigantism 1x, Multiple Heads 1x, Different Insides 1x, water parts 1x, Different ears x1, Different back legs x1, Multiple eyes x1, Candy insides x1, Hollow body x1, Detached/floating limbs x1, Icicle teeth x1, Gachapon x1, Tree Mushroom x1, Skeleton Parts x1, wing ears x1, dullahan x1, ghost parts x1	Stone x38, Mazu berry x24, Phaloo x21, Wyrm x10, Cooked Tagbo Fish x1, Eread x8, Evolution Stone x1, Prysiv Seeds x4, Phaloo Seeds x17, Stick x50, Evolution Shard x12, Prysiv x5		Lesser Pickaxe               evolution stone,  Revival potion,  Pot, Armor 2,                UBP recipe,            Ilgbii Myo,.       Mutations	FF01X-0 MO1U -0 PPO1E -0 MO3U -0 CO8X -0		Creation! Murdered
241	0_jellybee_0	183 UBP.                     18 Mazu Pyre				x1 Elementary 				Creation!
242	honey_.milktea	4,205 UBP 1 umbo 3 Eggs 51 Mazu Pyre	fairyfly x1, Abyssius x2, Ancient Earth x1	tank x1,m, Hoof back legs x1, Geode x1, Ragdoll x1, Familiars x1, Shaggy back legs x1, Requirement ignore x2, Skeleton Parts x1, Water parts x1, Gachapon x1 , Slime x1, Heart particles x1, Ghost Parts x1, Relic (Mazu pyre or gold), Candy cane horns x1, Zombism/mushrooms x2, Wings 1x, Tree/Mushrooms x1 	Phaloo x36, Stick x60, Phaloo Seeds x18, Stone x58, Magmil x2, Magicule seal x1, Prysiv x1, Prysiv seeds x2, Wyrm x1, Evolution Stone x4, Cooked Mazu Fish x2, Evolution Shard x19, Mazu Berry x25, Fossilized claw x1, Eread x2, Fossilized Whisker x1, Vielli Seed x5, Fossilized Feather x1, Revival Potion x3, Dryxon mushroom x2, Mushrumi Spore x1	1x Perfect Mazu Pyre	Lesser Pickaxe Twine Fishing Pole Evolution Stone Hoe Mutations  Cooked Mazu Fish Cooked Fica Ancient Fire Umi Campfire Pot	FF23X - 0 M03U - 0 C02X - 0 DB01X - 0  G05X - 0 FF61X - 0		Creation!                      Artifact Holder               Pirate of the Seven Seas         Bring On The Heat
243	j_dystopia	1460 UBP	x2 elementary			x1 elementary				Creation!
244	D.U.F	610 UBP								Creation!
245	woofer_shadow	100 UBP	1x Abyssius	x1 wings, x1 different insides	x1 evolution Stone 					Creation!
246	jaspercasts	1,540 UBP		Snowman x1	Phaloo x5, Stick x16, Stone x10, Evolution Shard x2, Mazu berry x6					Creation!
247	fetch_the_lamp	2,575 UBP 13 CH 22 Eggs	Ilgbii x1	Stardust x1, wings x1	Stick x27, Stone x23, Phaloo x18, Mazu berry x10, Evolution shard x6, Black Lyka x1, Magmil x2, Phaloo Seeds x6		Lesser Pickaxe             igblii myo	ff01x-0		Creation!
248	doodle_doofus	100 UBP								Creation!
249	1agogo	2,100 UBP 20 CH								Creation!
250	itx_ogami	3,287 UBP 5 Bells 10 CH 2 Eggs 14 Mazu Pyre  20 Umbo	Ilgbii x1, Feyndeer x1, Elementary x2, Ancient Fire x1, Firefly 1x	1x albinism, Ragdoll x1, Wings x1, Familiars x4, 1x snow particles, shadowmorph x2, floating objects x1, glitch x1, Heart particles, Bird hind legs, Candy cane horns, Sand parts, Scarecrow, Piebald skin, Icicle teeth, ghost parts x1, colour changing x1	Stick x40, Stone x62, Phaloo Seeds x8, Mazu berry x7, Phaloo x8, Eread x14, Magmil x1, Black Lyka x2, Evolution Shard x12, Prysiv x12, Wyrm x12, Prysiv Seeds x9, Vielli seed x1, Dryxon Mushroom x1, Fossilized Horn x1,	1x perfect mazu pyre	Lesser pickaxe  Campfire  Ilgbii umi  Armor 2 Cooked mazu fish Mutations Stew                Ancient Water Umi Ancient Fire Umi 	ff01x -1 M06X -0 C03U-0.               FF71X I07U - 0	1 untilled plot of land	Creation!                                 first quest                      Artifact Holder MQB Novice 5 MQB Prompts MQB Diligence               Bring On The Heat
251	hyperfoxcreations	100 UBP								Creation!
252	ruvm3llo	100 UBP								Creation!
253	marrouxx.jpeg	331 UBP	1 elementary myo 3 Abyssius myos 2 cupid myos 1 ilgbii myo	Ghost Parts x1, wings x1, plant growth x1		1x elementary 				Creation!
254	beddybugs	100 UBP                               5 eggs	1 Elementary 		3x ilgbii flower, 1x evolution shard, 1x revival potion					Creation!
