,Username,TH link,Gene,Past Forms,Level,XP,Damage (health/10),Tools x use,Myo?
1144,Fish_b1te,1144 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1145,fish_b1te,1145 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1146,tama.novie,1146 on Toyhouse,Feyndeer,N/A,8,2/18,0/10,Hoe x4,no
1147,oops_jinxed_it,1147 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
1148,Spencer_mxtt,1148 on Toyhouse,Elementary,,1,0/5,10/10,,no
1149,chaotic_clueless,1149 on Toyhouse,Elementary,,5,2/10,1/10,,no
1150, _Crims0n.mamaart_,1150 on Toyhouse,Elementary,,2,0/5,10/10,,no
1151,n/a,1151 on Toyhouse,Elementary,,1,0/5,10/10,,no
1152,n/a,1152 on Toyhouse,Elementary,,1,0/5,10/10,,no
1153,mixies_sketchbook,1153 on Toyhouse,Elementary,,1,0/5,10/10,,no
1154,Chaotic_Clueless,1154 on Toyhouse,Elementary,,5,1/10,7/10,,no
1155,ari._notfound,1155 on Toyhouse,Elementary,,1,0/5,10/10,,no
1156,itx_ogamii,1156 on Toyhouse,Elementary,,1,0/5,10/10,,no
1157,floof_ers,1157 on Toyhouse,Elementary,,2,0/5,10/10,,no
1158,dracowolf_x,1158 on Toyhouse,Elementary,,1,0/5,10/10,,no
1159,_.PhoenixArtz._,1159 on Toyhouse,Elementary,,1,0/5,10/10,,no
1160,hardware.excel,1160 on Toyhouse,Elementary,N/A,1,0/5,10/10,,no
1161,infamous_comedown_ok_,1161 on Toyhouse,Feyndeer ,N/A,1,2/5,9/10,,no
1162,_pumpkin_pxtch_,1162 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1163,bro__boi,1163 on Toyhouse,Elementary,,5,4/10,10/10,,no
1164,chaotic_clueless,1164 on Toyhouse,Elementary,,5,0/10,8/10,,No
1165,bergierpants,1165 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
1166, nyxoom_draws,1166 on Toyhouse,Elementary,,5,1/10,10/10,,No
1167,Chaotic_Clueless,1167 on Toyhouse,Elementary,,5,0/10,3/10,,No
1168,mixies_sketchbook,1168 on Toyhouse,Ancient Fire,,1,0/5,10/10,,no
1169,stwabby_roomz,1169 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1170,lazuu.uwu_art,1170 on Toyhouse,Feyndeer,N/A,3,0/6,10/10,,No
1171,n/a,1171 on Toyhouse,Elementary,,1,0/5,10/10,,no
1172,therisingriver,1172 on Toyhouse,Elementary,,1,0/5,10/10,,no
1173,Stwabby_roomz,1173 on Toyhouse,Elementary,,1,0/5,10/10,,no
1174,therisingriver,1174 on Toyhouse,Elementary,,1,0/5,10/10,,no
1175,diino.miilk,1175 on Toyhouse,Elementary,,1,0/5,10/10,,no
1176,_infamous_comedown_ok,1176 on Toyhouse,Elementary,,7,1/15,10/10,,no
1177,sketchy.pigeon,1177 on Toyhouse,Fire-Chaos,Elementary,7,2/15,4/10,,no
1178,_.phoenixartz._,1178 on Toyhouse,Elementary,,1,0/5,10/10,,no
1179,_pumpkin_patxh_,1179 on Toyhouse,Elementary,,1,2/5,10/10,,no
1180,n/a,1180 on Toyhouse,Elementary,,1,0/5,10/10,,no
1181,holly.lovesducks,1181 on Toyhouse,Elementary,,7,0/15,5/10,,no
1182,insomniac.practice,1182 on Toyhouse,Elementary,,1,0/5,10/10,,no
1183,Stwabby_roomz,1183 on Toyhouse,Elementary,,1,0/5,10/10,,no
1184,axolotl1nc,1184 on Toyhouse,Elementary,,1,0/5,10/10,,no
1185,mixies_sketchbook,1185 on Toyhouse,Elementary,,5,0/10,10/10,,no
1186,Stwabby_roomz,1186 on Toyhouse,Elementary,,1,0/5,10/10,,no
1187,_.phoenixartz._,1187 on Toyhouse,Elementary,,1,0/5,10/10,,no
1188,diino.miilk,1188 on Toyhouse,Elementary,,1,0/5,10/10,,no
1189,slerral._.artz,1189 on Toyhouse,Elementary,,1,0/5,10/10,,no
1190,zak_5670,1190 on Toyhouse,Elementary,,1,2/5,10/10,,no
1191,smile._.dogg,1191 on Toyhouse,Elementary,,1,0/5,10/10,,no
1192,mixies_sketchbook,1192 on Toyhouse,Kiab - Chaos,,8,0/20,4/10,,no
1193,bergierpants,1193 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1194,floof._.adopts,1194 on Toyhouse,Feyndeer,,1,0/5,10/10,,no
1195,epicbeansprout ,1195 on Toyhouse,Abyssius,N/A,7,11/15,9/10,,no
1196,fish_b1te,1196 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1197,_pumpkin_pxtch_,1197 on Toyhouse,Elementary,,1,0/5,10/10,,no
1198,willem_dafoe_official,1198 on Toyhouse,Elementary,,1,0/5,10/10,,no
1199,lazuu.uwu_art,1199 on Toyhouse,Feyndeer,N/A,3,0/6,10/10,,no
1200,epicbeansprout,1200 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1201,neighborlynarwhal ,1201 on Toyhouse,Elementary,,4,0/8,9/10,,no
1202,consteloly,1202 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1203,consteloly,1203 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1204,_cottea_,1204 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1205,_cottea_,1205 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1206,Raeya_draws,1206 on Toyhouse,Elementary,,1,0/5,10/10,,No
1207,lazuu.uwu_art,1207 on Toyhouse,Elementary,,1,0/5,10/10,,no
1208,bro___boi,1208 on Toyhouse,Feyndeer,N/A,5,6/10,5/10,,no
1209,bro___boi,1209 on Toyhouse,Feyndeer,N/A,6,10/12,4/10,,no
1210,bro___boi,1210 on Toyhouse,Feyndeer,N/A,6,5/12,3/10,,no
1211,consteloly,1211 on Toyhouse,Elementary,,1,0/5,10/10,,no
1212,consteloly,1212 on Toyhouse,Elementary,,1,0/5,10/10,,no
1213,willem_dafoe_offical,1213 on Toyhouse,Elementary,,1,0/5,10/10,,no
1214,bro___boi,1214 on Toyhouse,Feyndeer,N/A,4,6/8,10/10,,yes
1215,stwabby_roomz,1215 on Toyhouse,Elementary,,1,0/5,10/10,,no
1216,n/a,1216 on Toyhouse,Elementary,,1,0/5,10/10,,no
1217,neighborlynarwhal,1217 on Toyhouse,Elementary,,1,0/5,10/10,,no
1218,willem_dafoe_official,1218 on Toyhouse,Elementary,,1,0/5,10/10,,no
1219,unnatural_oatmeal,1219 on Toyhouse,Elementary,,3,1/6,10/10,Lesser Pickaxe x2,no
1220,neighborlynarwhal,1220 on Toyhouse,Elementary,,1,0/5,10/10,,no
1221,floof._.adopts,1221 on Toyhouse,Elementary,,6,10/12,9/10,,no
1222,fish_b1te,1222 on Toyhouse,Water - Water,Elementary,14,11/30,9/10,,no
1223,Stwabby_roomz,1223 on Toyhouse,Elementary,,1,0/5,10/10,,no
1224,neighborlynarwhal,1224 on Toyhouse,Elementary,,1,0/5,10/10,,no
1225,Stwabby_roomz,1225 on Toyhouse,Elementary,,1,0/5,10/10,,no
1226,sketchy.pigeon,1226 on Toyhouse,Earth-Plant,Elementary,7,2/15,4/10,,no
1227,_infamous_comedown_ok,1227 on Toyhouse,Elementary,,7,7/15,10/10,,no
1228,Honeybee_fanfare,1228 on Toyhouse,Elementary,,1,0/5,10/10,,no
1229,risk_of_systematic_chaos,1229 on Toyhouse,Elementary,,1,0/5,10/10,,no
1230,Stwabby_roomz,1230 on Toyhouse,Elementary,,1,0/5,10/10,,no
1231,neighborlynarwhal,1231 on Toyhouse,Elementary,,1,0/5,10/10,,no
1232,_meowzie_,1232 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1233,_meowzie_,1233 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1234,_meowzie_,1234 on Toyhouse,Cupid,N/A,1,0/5,10/10,,No
1235,_meowzie_,1235 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
1236,usukiarts,1236 on Toyhouse,Elementary,,1,0/5,10/10,,No
1237,usukiarts,1237 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
1238,pyr022_,1238 on Toyhouse,Abyssius,N/A,1,2/5,10/10,,Yes
1239,c0smic_m4tter,1239 on Toyhouse,Elementary,,1,0/5,10/10,,no
1240,vinny._.kitty,1240 on Toyhouse,Elementary,,1,0/5,10/10,,no
1241,faimynth,1241 on Toyhouse,Elementary,,1,0/5,10/10,,no
1242,oops_jinxed_it,1242 on Toyhouse,Elementary,,1,0/5,10/10,,no
1243,_pumpkin_patxh_ ,1243 on Toyhouse,Elementary,,1,0/5,10/10,,no
1244,lazuu.uwu_art,1244 on Toyhouse,Elementary,,1,0/5,10/10,,no
1245,river.umi ,1245 on Toyhouse,Elementary,,1,0/5,10/10,,no
1246,_infamous_comedown_ok,1246 on Toyhouse,Elementary,,1,1/5,10/10,,no
1247,lolzerous,1247 on Toyhouse,Elementary,,1,0/5,10/10,,no
1248,usukiarts,1248 on Toyhouse,Elementary,,1,0/5,10/10,,no
1249,sonyaisstrange and mixies_sketchbook (co-owning),1249 on Toyhouse,Elementary,,1,0/5,10/10,,no
1250,Mixies_sketchbook,1250 on Toyhouse,Elementary,,1,4/5,10/10,,no
1251,alfred_da_buttler,1251 on Toyhouse,Elementary,,3,0/6,10/10,,no
1252,dead2luna,1252 on Toyhouse,Elementary,,1,0/5,10/10,,no
1253,Chaotic_Clueless,1253 on Toyhouse,Elementary,,2,2/5,6/10,,no
1254,Chaotic_Clueless,1254 on Toyhouse,Elementary,,3,4/6,10/10,,no
1255,mixies_sketchbook,1255 on Toyhouse,Elementary,,1,0/5,10/10,,no
1256,"constellixx, chiliimelon",1256 on Toyhouse,Feyndeer,N/A,7,9/15,3/10,,No
1257,_pumpkin_patxh_,1257 on Toyhouse,Elementary,,1,0/5,10/10,,No
1258,floof._.adopts,1258 on Toyhouse,Elementary,,1,0/5,10/10,,no
1259,Chaotic_Clueless,1259 on Toyhouse,Elementary,,1,0/5,10/10,,no
1260,chaotic_clueless,1260 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1261,gummiefox,1261 on Toyhouse,Elementary,,1,0/5,10/10,,no
1262,_crims0n.mamaart_,1262 on Toyhouse,Elementary,,1,0/5,10/10,,no
1263,kovupancakes,1263 on Toyhouse,Elementary,,1,0/5,10/10,,no
1264,neighborlynarwhal,1264 on Toyhouse,Elementary,,1,0/5,10/10,,no
1265,mixies_sketchbook,1265 on Toyhouse,Elementary,,1,0/5,10/10,,no
1266,_.phoenixartz._,1266 on Toyhouse,Elementary,,5,7/10,1/10,,no
1267,nyxoom_draws,1267 on Toyhouse,Elementary,,2,0/5,10/10,,no
1268,dragon092727,1268 on Toyhouse,Elementary,,1,0/5,10/10,,no
1269,floof._.adopts,1269 on Toyhouse,Cupid,N/A,1,0/5,10/10,,no
1270,oops_jinxed_it,1270 on Toyhouse,Elementary,,1,0/5,10/10,,no
1271,Chaotic_clueless,1271 on Toyhouse,Abyssius,N/A,1,3/5,10/10,,no
1272,honeybee_fanfare,1272 on Toyhouse,Elementary,,1,0/5,10/10,,No
1273,diino.miilk,1273 on Toyhouse,Elementary,,1,3/5,10/10,,no
1274,n/a,1274 on Toyhouse,Elementary,,1,0/5,10/10,,no
1275,quollian,1275 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1276,korkikorel,1276 on Toyhouse,Elementary,,1,0/5,10/10,,no
1277,_fluffywuffyfluffo,1277 on Toyhouse,Elementary,,1,0/5,10/10,,no
1278,_fluffywuffyfluffo,1278 on Toyhouse,Elementary,,1,0/5,10/10,,no
1279,_fluffywuffyfluffo,1279 on Toyhouse,Elementary,,1,0/5,10/10,,no
1280,_fluffywuffyfluffo,1280 on Toyhouse,Elementary,,1,0/5,10/10,,no
1281,_fluffywuffyfluffo,1281 on Toyhouse,Elementary,,1,0/5,10/10,,no
1282,_fluffywuffyfluffo,1282 on Toyhouse,Elementary,,1,0/5,10/10,,no
1283,_fluffywuffyfluffo,1283 on Toyhouse,Elementary,,1,0/5,10/10,,no
1284,floof._.adopts,1284 on Toyhouse,Elementary,,1,0/5,10/10,,no
1285,_d3f4ult_art,1285 on Toyhouse,Elementary,,4,0/8,2/10,,no
1286,Honeybee_fanfare,1286 on Toyhouse,Elementary,,1,0/5,10/10,,no
1287,mixies_sketchbook,1287 on Toyhouse,Elementary,,5,3/10,9/10,,No
1288,peachiibees,1288 on Toyhouse,Elementary,,13,2/30,7/10,"Anvil x8
Armor 2 x10",No
1289,"mixies_sketchbook, 
sonyaisstrange",1289 on Toyhouse,Elementary,,1,3/5,10/10,,No
1290,zesmolnuggeto,1290 on Toyhouse,Elementary,,1,0/5,10/10,,No
1291,mixies_sketchbook,1291 on Toyhouse,Elementary,,4,1/8,10/10,,No
1292,mixies_sketchbook,1292 on Toyhouse,Elementary,,3,4/6,7/10,Hoe x1,No
1293,mixies_sketchbook,1293 on Toyhouse,Elementary,1/10,2,4/5,1/10,,No
1294,diino.miilk,1294 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,No
1295,insomniac.practice,1295 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
1296,palikomink,1296 on Toyhouse,Feyndeer,N/A,3,3/6,10/10,,no
1297,insomniac.practice,1297 on Toyhouse,Elementary,,8,4/18,9/10,,no
1298,epicbeansprout ,1298 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1299,the_indigo_arrow,1299 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
1300,fish_b1te,1300 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1301,bergierpants,1301 on Toyhouse,Elementary,,1,0/5,10/10,,no
1302,Sketchy.pigeon,1302 on Toyhouse,Elementary,,14,4/30,3/10,"Greater Pickaxe x4
Hoe x5
Anvil x10",no
1303,Kindhearted_Mouse,1303 on Toyhouse,Elementary,,1,0/5,10/10,,No
1304,TheRisingRiver,1304 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1305,beetle.dood,1305 on Toyhouse,Elementary,,3,5/6,10/10,,no
1306,Chaotic_clueless,1306 on Toyhouse,Elementary,,5,0/10,10/10,,no
1307,smolowls,1307 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1308,honey_.milktea,1308 on Toyhouse,Elementary,,1,2/5,10/10,,no
1309,sour.rot,1309 on Toyhouse,Elementary,,2,4/5,7/10,,no
1310,n/a,1310 on Toyhouse,Elementary,,1,0/5,10/10,,no
1311,pastelitten,1311 on Toyhouse,Elementary,,1,0/5,10/10,,No
1312,secreywake.up,1312 on Toyhouse,Elementary,,1,4/5,8/10,,no
1313,_.PhoenixArtz._,1313 on Toyhouse,Elementary,,4,5/8,10/10,Greater Pickaxe x4,no
1314,_.PhoenixArtz._,1314 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1315,_cottea_,1315 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
