,Username,TH link,Gene,Past Forms,Level,Regressions - XP,Damage (health/10),Tools x use,Myo?
678,neighborlynarwhal,678 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
679,neighborlynarwhal,679 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
680,neighborlynarwhal,680 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
681,neighborlynarwhal,681 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
682,neighborlynarwhal,682 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
683,neighborlynarwhal,683 on Toyhouse,Ilgbii,N/A,8,14/18,0/10,,no
684,neighborlynarwhal,684 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,yes
685,neighborlynarwhal,685 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,yes
686,neighborlynarwhal,686 on Toyhouse,Elementary,,1,0/5,10/10,,yes
687,neighborlynarwhal,687 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,Yes
688,_pumkin_patxh_,688 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
689,n/a,689 on Toyhouse,Elementary,,1,0/5,10/10,,no 
690,diino.miilk,690 on Toyhouse,Elementary,,1,0/5,10/10,,no
691,_.PhoenixArtz._,https://toyhou.se/18480240.691,Elementary,,1,3/5,10/10,,no
692,Chaotic_clueless,692 on Toyhouse,earth-slime,elementary ,6,3/12,10/10,,no
693,Chaotic_clueless,693 on Toyhouse,Elementary,,5,0/10,10/10,,no
694,Diino.Miilk,694 on Toyhouse,Elementary,,1,0/5,10/10,,no
695,chaotic_clueless,695 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
696,n/a,696 on Toyhouse,Elementary,,1,0/5,10/10,,no
697,mixies_sketchbook,697 on Toyhouse,Elementary,,1,2/5,10/10,,no
698,n/a,698 on Toyhouse,Elementary,,1,2/5,10/10,,no
699,apohye,699 on Toyhouse,Elementary,,10,3/26,10/10,,no
700,diino.miilk,700 on Toyhouse,Elementary,,5,8/10,8/10,hoe x6,no
701,diino.miilk,701 on Toyhouse,Any Exclusive,N/A,1,0/5,N/A,,yes
702,bunnyboiaries,702 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
703,nini.cosmosart,703 on Toyhouse,Elementary,,1,0/5,10/10,,No
704,nyxoom_draws,704 on Toyhouse,Elementary,,1,2/5,10/10,,no
705,diino.miilk,705 on Toyhouse,Elementary,,1,0/5,10/10,,No
706,sketchy.pigeon,706 on Toyhouse,Elementary,,1,1/5,9/10,,No
707,mixies_sketchbook,707 on Toyhouse,Elementary,,5,4/10,10/10,,No
708,diino.miilk,708 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,No
709,sketchy.pigeon,709 on Toyhouse,Elementary,,1,1/5,9/10,,No
710,edd_._spams,710 on Toyhouse,Cupid,N/A,1,0/5,10/10,Lesser Pickaxe x5,No
711,edd_._spams,711 on Toyhouse,Abyssius,,1,0/5,10/10,,Yes
712,edd_._spams,712 on Toyhouse,Elementary,,1,4/5,10/10,,No
713,bunnyboiaries ,713 on Toyhouse,Elementary,,7,0/15,10/10,Lesser Pickaxe x5,No
714,Diino.miilk,714 on Toyhouse,Ilgbii ,N/A,1,0/5,10/10,,Yes
715,Diino.miilk,715 on Toyhouse,Cupid,N/A,4,1 - 1/8,9/10,"Lesser Pickaxe x1
Anvil x10
Pot x9",No
716,KorkiKorel,716 on Toyhouse,Elementary,,1,0/5,10/10,,No
717,dragon092727,717 on Toyhouse,Elementary,,1,0/5,10/10,,no
718,neighborlynarwhal,718 on Toyhouse,Elementary,,7,12/15,5/10,"Pot x17
Campfire x2
Hoe x7",no
719,_infamous_comedown_ok,719 on Toyhouse,Elementary,,1,0/5,10/10,,no
720,neighborlynarwhal,720 on Toyhouse,Elementary,,7,0/15,3/10,,no
721,n/a,721 on Toyhouse,Elementary,,1,0/5,10/10,,no
722,stwabby_roomz,722 on Toyhouse,Elementary,,4,4/8,6/10,,no
723,_pumkin_patxh_,723 on Toyhouse,Elementary,,1,0/5,10/10,,no
724,smile._.dogg,724 on Toyhouse,Elementary,,1,0/5,10/10,,no
725,n/a,725 on Toyhouse,Elementary,,1,0/5,10/10,,no
726,n/a,726 on Toyhouse,Elementary,,1,0/5,10/10,,no
727,n/a,727 on Toyhouse,Elementary,,1,0/5,10/10,,no
728,_infamous_comedown_ok,728 on Toyhouse,Abyssius,N/A,1,2/5,10/10,,no
729,_pumpkin_patxh_,729 on Toyhouse,Elementary,,1,0/5,10/10,,no
730,mewdyne.draws,730 on Toyhouse,Elementary,,4,4/8,10/10,,No
731,mixies_sketchbook,731 on Toyhouse,Elementary,,1,1/5,10/10,,No
732,mixies_sketchbook,732 on Toyhouse,Elementary,,1,0/5,10/10,,No
733,baileisincream,733 on Toyhouse,Elementary,,1,0/5,10/10,,No
734,mewsemi,734 on Toyhouse,Elementary,,1,0/5,10/10,,No
735,bergierpants,735 on Toyhouse,Cupid,N/A,1,0/5,10/10,,No
736,_0_strawberrymilk_0_,736 on Toyhouse,Elementary,,9,21/22,10/10,,no
737,_pumpkin_patxh_,737 on Toyhouse,Elementary,,1,0/5,10/10,,no 
738,diino.miilk ,738 on Toyhouse,Elementary,,1,0/5,10/10,,no
739,draggis64,739 on Toyhouse,Elementary,,4,1/8,10/10,,no
740,draggis64,740 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
741,_pumpkin_patxh_,741 on Toyhouse,Elementary,,1,2/5,10/10,,no
742,_pumpkin_patxh_,742 on Toyhouse,Elementary,,1,2/5,10/10,,no
743,usukiarts,743 on Toyhouse,Elementary,,1,0/5,10/10,,no
744,lost_reality_ren,744 on Toyhouse,Elementary,,1,2/5,10/10,,no
745,uncannymutt_,745 on Toyhouse,Elementary,,1,0/5,10/10,,No
746,Gurkschenkaddse ,746 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
747,lazuu.uwu_art,747 on Toyhouse,Elementary,,1,2/6,10/10,,no
748,_fluffywuffyfluffo,748 on Toyhouse,Elementary,,1,0/5,10/10,,no
749,jill_likes_art,749 on Toyhouse,Elementary,,1,0/5,10/10,,no
750,_0_strawberrymilk_0_,750 on Toyhouse,Elementary,,7,2/15,9/10,,no
751,nyxoom_draws,751 on Toyhouse,Abyssius,,4,0/8,10/10,,no
752,radioactivechunk04,752 on Toyhouse,Elementary,,1,0/5,10/10,,no
753,dead_.luna,753 on Toyhouse,Elementary,,1,0/5,10/10,,no
754,de.vina_twiii,754 on Toyhouse,Elementary,,6,10/12,10/10,,no
755,downthedarkavenues,755 on Toyhouse,Elementary,,1,0/5,10/10,,yes
756,downthedarkavenues,756 on Toyhouse,Elementary,,1,0/5,10/10,,yes
757,mixies_sketchbook,757 on Toyhouse,Abyssius,N/A,15,29/30,4/10,"Campfire x5
Anvil x6
Hoe x3
Pot of Water x8",No
758,Edd_._spams,758 on Toyhouse,Elementary,,4,2/8,10/10,,No
759,ghostlytwickster,759 on Toyhouse,Fire-Chaos,Elementary,9,3/22,1/10,"Fishing pole x3
Anvil x9
Greater Pickaxe x2",No
760,_lagomorphic_,760 on Toyhouse,Elementary,,1,0/5,10/10,,No
761,_crims0n.mamaart_,761 on Toyhouse,Elementary,,1,0/5,10/10,,No
762,Diino.miilk,762 on Toyhouse,Elementary,,1,0/5,10/10,,No
763,lazuu.uwu_art,763 on Toyhouse,Abyssius,N/A,1,2/5,10/10,,no
764,strawberry._.sh0rtcake ,764 on Toyhouse,Elementary,,1,0/5,10/10,,yes
765,ringodingodesignz,765 on Toyhouse,Abyssius ,N/A,2,3/5,10/10,,no
766,Diino.miilk,766 on Toyhouse,Elementary,,1,0/5,10/10,,no
767,Diino.miilk,767 on Toyhouse,Elementary,,5,8/10,9/10,,no
768,akuma_risen_art,768 on Toyhouse,Elementary,,1,0/5,10/10,,no
769,_lagomorphic_,769 on Toyhouse,Elementary,,1,0/5,10/10,,no
770,eddlydeddly ,770 on Toyhouse,Elementary,,1,2/5,10/10,,no
771,n/a,771 on Toyhouse,Abyssius,N/A,1,0/5,9/10,,no
772,_pumpkin_patxh_,772 on Toyhouse,Abyssius,N/A,1,2/5,9/10,,no
773,kats.cafe ,773 on Toyhouse,Elementary,,1,0/5,10/10,,no
774,lazuu.uwu_art,774 on Toyhouse,Elementary,,1,4/5,10/10,,no
775,lazuu.uwu_art,775 on Toyhouse,Cupid,,7,14/15,3/10,Pot x7,no
776,aj.artvoid,776 on Toyhouse,Elementary,,5,4/10,10/10,,no
777,_0_StrawberryMilk_0_,777 on Toyhouse,Elementary,,1,0/5,10/10,,no
778,_0_strawberrymilk_0_,778 on Toyhouse,Elementary,,1,0/5,10/10,,no
779,_0_strawberrymilk_0_,779 on Toyhouse,Elementary,,1,0/5,10/10,,no
780,_0_strawberrymilk_0_,780 on Toyhouse,Elementary,,1,0/5,10/10,,no
781,usukiarts,781 on Toyhouse,Elementary,,1,0/5,10/10,,no
782,usukiarts,782 on Toyhouse,Elementary,,1,0/5,10/10,,no
783,thefishofthecat,783 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
784,therisingriver,784 on Toyhouse,Abyssius,N/A,2,0/5,8/10,,no
785,Dino.miilk,785 on Toyhouse,Fire-Chaos,Elementary,6,9/12,10/10,,No
786,ghostlytwickster,786 on Toyhouse,Elementary,,1,0/5,10/10,,No
787,diino.miilk,787 on Toyhouse,Elementary,,5,6/10,10/10,,No
788,diino.miilk,788 on Toyhouse,Elementary,,5,6/10,10/10,,No
789,zesmolnuggeto,789 on Toyhouse,Elementary,,1,0/5,10/10,,No
790,fuyna.lullaby,790 on Toyhouse,Elementary,,1,0/5,10/10,,No
791,bro___boi,791 on Toyhouse,Elementary,,11,2/30,10/10,,no
792,_mega_mogul_,792 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
793,_mega_mogul_,793 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
794,_.PhoenixArtz._,794 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
795,_0_strawberrymilk_0_,795 on Toyhouse,Elementary,,1,0/5,10/10,,No
796,_pumpkin_patxh_ ,796 on Toyhouse,Elementary,,1,2/5,10/10,,No
797,_crims0n.mamaart_ ,797 on Toyhouse,Elementary,,1,0/5,10/10,,No
798,_0_strawberrymilk_0_,798 on Toyhouse,Elementary,,1,0/5,10/10,,No
799,Chaotic_Clueless,799 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
800,diino.miilk,800 on Toyhouse,Abyssius ,N/A,1,2/5,10/10,,No
801,Chaotic_Clueless,801 on Toyhouse,Abyssius,N/A,3,2/6,10/10,,No
802,Chaotic_Clueless,802 on Toyhouse,Abyssius ,N/A,7,1/18,1/10,,no
803,unnatural_oatmeal,803 on Toyhouse,Abyssius ,N/A,4,0/8,10/10,,No
804,floof._.adopts,804 on Toyhouse,Abyssius ,N/A,1,0/5,10/10,,Yes
805,unnatural_oatmeal,805 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
806,zak_5670,806 on Toyhouse,Air-Cosmic,,5,2/10,10/10,,No
807,chaotic_clueless,807 on Toyhouse,Elementary,,5,0/10,10/10,,yes
808,thefishofthecat,808 on Toyhouse,Abyssius,N/A,1,2/5,10/10,,Yes
809,n/a,809 on Toyhouse,Elementary,,1,0/5,10/10,,No
810,_Crims0n.mamaart_,810 on Toyhouse,Elementary,,1,0/5,10/10,,No
811,Digitalskullfox,811 on Toyhouse,Elementary,,1,0/5,10/10,,No
812,_pumpkin_patxh_,812 on Toyhouse,Fairy-Cosmic,Elementary,15,2/30,9/10,,No
813,FrostArtsStudios,813 on Toyhouse,Kiab-Chaos,Elementary,13,6/30,7/10,,No
814,bro__boi,814 on Toyhouse,Abyssius ,N/A,7,2/15,10/10,,No
815,bro__boi,815 on Toyhouse,Abyssius ,N/A,11,24/30,10/10,Pot-water x10,No
816,kindhearted_mouse,816 on Toyhouse,Abyssius ,N/A,1,0/5,10/10,,Yes
817,downthedarkavenues,817 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
818,De.vina_twii,818 on Toyhouse,Elementary,,1,0/5,1/10,,No
819, mixies_sketchbook,819 on Toyhouse,Elementary,,5,1/10,10/10,,No
820,N/A,820 on Toyhouse,Elementary,,1,0/5,10/10,,No
821,Bellandthebeasts,821 on Toyhouse,Elementary,,1,0/5,10/10,,No
822,neighborlynarwhal,822 on Toyhouse,Abyssius,,1,4/5,10/10,,No
823,_0_strawberrymilk_0_,823 on Toyhouse,Elementary,,1,0/5,10/10,,No
824,Chaotic_clueless,824 on Toyhouse,Elementary,,1,0/5,10/10,,No
825,N/A,825 on Toyhouse,Elementary,,1,0/5,10/10,,No
826,UsukiArts,826 on Toyhouse,Elementary,,1,0/5,10/10,,No
827,N/A,827 on Toyhouse,Elementary,,1,0/5,10/10,,No
828,N/A,828 on Toyhouse,Elementary,,1,0/5,10/10,,No
829,N/A,829 on Toyhouse,Elementary,,1,0/5,10/10,,No
830,N/A,830 on Toyhouse,Elementary,,1,0/5,10/10,,No
831,Crash_pilot,831 on Toyhouse,Elementary,,1,0/5,10/10,,No
832,N/A,832 on Toyhouse,Elementary,,1,0/5,10/10,,No
833,beatriceisah_02,833 on Toyhouse,Elementary,,1,0/5,10/10,,No
834,holly.lovesducks,834 on Toyhouse,Elementary,,8,0/18,9/10,,no
835,holly.lovesducks,835 on Toyhouse,Elementary,,7,0/15,9/10,,no
